"","id","BFSNR","Gemeinde","Stadtkreis","lat","lng","room_type","person_capacity","price","beds","bedrooms","bathrooms","reviews_count","name","userid","instant_bookable"
"1868",17488406,261,"Zürich","1+2",47.3710196839193,8.54266481350788,"Ganze Unterkunft",2,88,1,1,1,2,"Storchen: Boutique Studio in the heart of Old Town",24662562,FALSE
"1869",2789296,261,"Zürich","1+2",47.3763763495833,8.54463021608487,"Ganze Unterkunft",1,88,1,0,1,6,"Cozy and beautiful flat in old-town",10651736,FALSE
"1870",20150801,261,"Zürich","3",47.3694956542476,8.51999141422053,"Ganze Unterkunft",3,88,1,0,1,1,"Awesome Attic Apartment",18078310,FALSE
"1871",6796349,261,"Zürich","3",47.3666986939659,8.52186032574559,"Privatzimmer",2,88,1,1,1.5,19,"lovely flat with rooftop & garden",26314685,FALSE
"1872",14659604,261,"Zürich","6",47.3820425597456,8.54846456405324,"Ganze Unterkunft",2,88,1,1,1,12,"Sweet and cosy Apartment in City Center",88346063,FALSE
"1873",17336437,230,"Winterthur","Altstadt",47.4981943074813,8.72917031573335,"Ganze Unterkunft",2,88,1,1,1,10,"Luxury Apartment in the heart of the city centre",42670116,FALSE
"1874",12878337,261,"Zürich","3",47.3698141409701,8.51334397922079,"Ganze Unterkunft",3,88,1,0,1,40,"Very spacious loft-type apartment.",9950350,FALSE
"1875",14156983,261,"Zürich","3",47.3685884818797,8.52126137360515,"Privatzimmer",2,88,1,1,1,4,"Ein Zuhause",4994646,FALSE
"1876",6231269,100,"Stadel",NA,47.52951309948,8.46776745877573,"Ganze Unterkunft",2,88,1,1,1,4,"""Stöckli"", mini Bauernhäuschen",32329896,FALSE
"1877",17910674,261,"Zürich","10",47.3937971254826,8.51519002682036,"Ganze Unterkunft",4,88,2,1,1,0,"Erwin goes Züri",1412081,FALSE
"1878",17454579,56,"Embrach",NA,47.5076716641864,8.59706482536471,"Privatzimmer",2,88,1,1,1,0,"Ruhiges Gästezimmer Nähe Flughafen",116253988,FALSE
"1879",17267089,261,"Zürich","11",47.4191303095445,8.55381401335795,"Privatzimmer",2,84,1,1,1,18,"Helles und gepflegtes Privatzimmer",116414518,FALSE
"1880",17206183,261,"Zürich","10",47.396856020636,8.52623704253652,"Ganze Unterkunft",6,86,4,3,1,1,"charming house in trendy neighbourhood of Zürich",15041534,FALSE
"1881",12746204,243,"Dietikon",NA,47.3992524429281,8.38643346638704,"Privatzimmer",2,88,1,1,1,0,"Ausschalten im Limmattal",31214006,FALSE
"1882",6046542,261,"Zürich","1+2",47.3737681098182,8.53849483391772,"Ganze Unterkunft",2,88,1,0,1,88,"Beste ruhige Lage beim Rennweg/Bahnhofstr.",13570663,FALSE
"1883",19033635,261,"Zürich","11",47.4056361742434,8.54763238585581,"Ganze Unterkunft",2,88,1,1,1,7,"Cozy apartment at Berninaplatz.",24072957,FALSE
"1884",18564725,141,"Thalwil",NA,47.2962905107843,8.56064680992135,"Privatzimmer",2,88,1,1,1,1,"London -Thalwil 90 min",55569823,FALSE
"1885",19799769,261,"Zürich","6",47.3932498347971,8.53961648486411,"Privatzimmer",2,88,1,1,1,0,"Zentral und stilvoll wohnen - mit eigenem Bad",25096276,FALSE
"1886",11491401,261,"Zürich","11",47.4160192962882,8.505672562241,"Privatzimmer",4,88,2,1,1.5,14,"Casa Kunz-Reyes Room 2",12150076,FALSE
"1887",4471811,261,"Zürich","9",47.374990628737,8.49908942710288,"Ganze Unterkunft",4,88,2,2,1,12,"Charming Flat in 60's/ 70's Style",8525630,FALSE
"1888",19782681,261,"Zürich","4+5",47.3786643903994,8.51092156190037,"Ganze Unterkunft",2,88,1,1,1,0,"Central and charming location in zurich",62887932,FALSE
"1889",12536540,111,"Bäretswil",NA,47.3366939491615,8.85220206201516,"Privatzimmer",1,87,1,1,1,0,"Penthouse Dachwohnung",67919744,FALSE
"1890",16517540,261,"Zürich","11",47.4064723973262,8.55080013426423,"Ganze Unterkunft",3,88,2,2,1,0,"Flat in Zürich Oerlikon - 15 min. from City Center",3701521,TRUE
"1891",12140276,230,"Winterthur","Mattenbach",47.4920789622478,8.73125801132588,"Ganze Unterkunft",2,88,1,1,1,1,"Wundervolle Wohnung zentral in Winterthur",122145,FALSE
"1892",18779493,261,"Zürich","4+5",47.3785376303673,8.51045478200343,"Privatzimmer",2,88,1,1,1,1,"Private Room in a Central City Apartment in Zürich",17731677,FALSE
"1893",13260757,133,"Horgen",NA,47.2545539722383,8.61488704047341,"Ganze Unterkunft",2,85,1,1,1,1,"Stunning Lake View, Bright&Airy Apt incl parking",1692249,FALSE
"1894",11502037,261,"Zürich","4+5",47.3808481668468,8.50553949928596,"Ganze Unterkunft",2,88,1,1,1,0,"Grosszügige Wohnung",60586608,FALSE
"1895",9904106,261,"Zürich","4+5",47.3758898419269,8.52956386744119,"Ganze Unterkunft",2,88,1,1,1,1,"Central 3.5 room apartment",50930438,FALSE
"1896",15285296,261,"Zürich","4+5",47.3763846095395,8.53030083705297,"Privatzimmer",2,88,1,1,1,47,"Charming & comfortable flat in downtown Zürich.",3728425,FALSE
"1897",8913637,83,"Buchs",NA,47.461076659319,8.43726493316028,"Privatzimmer",1,85,1,1,1,0,"Möbliertes Zimmer und Badzimmer",19731006,FALSE
"1898",9144546,261,"Zürich","4+5",47.3770612685672,8.52854703757728,"Ganze Unterkunft",2,88,1,1,1,3,"Central Zurich",8499322,FALSE
"1899",5428263,156,"Meilen",NA,47.2682233222755,8.65516099288013,"Privatzimmer",2,88,1,1,1.5,0,"Charmantes Zimmer in Meilen",2224045,FALSE
"1900",16951726,261,"Zürich","1+2",47.3617679338917,8.52841129208744,"Privatzimmer",2,88,2,1,1,22,"Parques Rietberg, spacious room without breakfast",23152238,TRUE
"1901",16611443,261,"Zürich","9",47.3831470461044,8.48280764493692,"Ganze Unterkunft",6,87,4,2,1,3,"Comfortable yet cheap 2 bedroom ap. in Zurich City",19271551,FALSE
"1902",453602,261,"Zürich","6",47.3925370929862,8.53992128072208,"Ganze Unterkunft",10,88,6,4,1,11,"ZH center-very convenient location",1986518,FALSE
"1903",8851456,154,"Küsnacht",NA,47.3087564164556,8.58989621718985,"Ganze Unterkunft",4,84,2,1,1,6,"Cozy + Modern Apartment in Kusnacht",46349088,FALSE
"1904",18392294,230,"Winterthur","Oberwinterthur",47.506906200848,8.76763328526619,"Privatzimmer",2,88,1,1,1,1,"1 Charmantes Zimmer in grossem Haus",107429001,FALSE
"1905",18971394,81,"Bachs",NA,47.5235055783761,8.43718773159384,"Privatzimmer",3,88,2,1,1,1,"Gemütliche Suite,idyllisch,nähe Zürich+Flughafen",95835494,TRUE
